Stand: 03.05.2021;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Sterbefälle nach Monaten und Altersgruppen 2016 bis 2021 in Deutschland;;;;;;;;;;;;;
;;;Ergebnisse für die Jahre 2020 und 2021 aus Rohdaten;;;;;;;;;;;;;
;;;Männlich;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lfd.;Jahr;Alter von ... bis;Monate;;;;;;;;;;;;Insgesamt;
Nr.;;unter … Jahren;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;;
68;2018;95 u. mehr;979;1039;1290;917;796;764;782;885;720;849;836;1049;10906;
69;2017;Insgesamt;46239;43205;40530;36197;37501;34649;35398;34992;34420;37307;37265;40053;457756;
70;2017;0-15;186;157;194;158;154;149;183;165;138;158;143;164;1949;
71;2017;15-30;285;235;257;233;248;254;231;223;236;224;222;246;2894;
72;2017;30-35;161;154;167;171;168;160;161;142;132;140;142;133;1831;
73;2017;35-40;185;209;219;193;240;198;187;220;201;228;205;209;2494;
74;2017;40-45;295;300;289;279;323;271;289;301;249;279;273;279;3427;
75;2017;45-50;697;625;684;650;646;639;594;601;596;586;594;563;7475;
76;2017;50-55;1324;1259;1233;1168;1331;1148;1189;1187;1175;1291;1250;1193;14748;
77;2017;55-60;2187;1961;2048;1896;1907;1897;1809;1769;1778;1879;1796;1875;22802;
78;2017;60-65;2919;2689;2544;2487;2555;2443;2441;2576;2274;2554;2575;2687;30744;
79;2017;65-70;3720;3417;3524;3110;3345;3059;3222;3236;3054;3354;3300;3494;39835;
80;2017;70-75;4566;4238;4034;3684;3785;3443;3631;3594;3467;3685;3697;3924;45748;
81;2017;75-80;8145;7602;7240;6328;6516;6072;6269;6073;6082;6366;6388;7015;80096;
82;2017;80-85;8562;7977;7434;6573;6713;6178;6331;6286;6301;6839;6847;7580;83621;
83;2017;85-90;7712;7414;6464;5619;5868;5302;5495;5245;5335;5825;5887;6508;72674;
84;2017;90-95;4161;3909;3244;2898;2927;2697;2656;2685;2694;3050;3075;3288;37284;
85;2017;95 u. mehr;1134;1059;955;750;775;739;710;689;708;849;871;895;10134;
86;2016;Insgesamt;40008;37454;40886;37207;36759;34378;35797;35202;33968;37679;37804;41162;448304;
87;2016;0-15;171;161;196;169;180;170;183;177;191;170;180;172;2120;
88;2016;15-30;256;235;240;245;283;263;293;272;259;269;248;256;3119;
89;2016;30-35;173;164;157;146;129;145;156;175;120;170;142;132;1809;
90;2016;35-40;207;192;226;199;235;195;203;209;195;188;210;226;2485;
91;2016;40-45;323;323;347;309;312;286;313;307;304;296;333;323;3776;
92;2016;45-50;712;677;721;703;665;673;702;663;637;650;648;691;8142;
93;2016;50-55;1388;1329;1396;1291;1259;1257;1220;1223;1139;1280;1238;1287;15307;
94;2016;55-60;2044;1923;2101;1949;1893;1774;1901;1850;1845;1958;1855;1935;23028;
95;2016;60-65;2717;2643;2785;2561;2495;2394;2528;2495;2326;2560;2556;2678;30738;
96;2016;65-70;3364;3143;3437;3133;3201;2975;3144;3195;3047;3293;3175;3472;38579;
97;2016;70-75;4393;4095;4510;4161;3870;3757;3898;3798;3569;3805;3795;4194;47845;
98;2016;75-80;7160;6684;7453;6743;6453;6199;6313;6230;6049;6673;6734;7271;79962;
99;2016;80-85;6931;6534;7093;6394;6497;5926;6163;6031;5913;6737;6804;7363;78386;
100;2016;85-90;6300;5878;6383;5712;5839;5200;5513;5362;5229;5963;6050;6812;70241;
101;2016;90-95;3068;2787;3067;2761;2720;2519;2556;2564;2479;2905;3023;3449;33898;
102;2016;95 u. mehr;801;686;774;731;728;645;711;651;666;762;813;901;8869;
