GENESIS-Tabelle: 12411-0007
Bevölkerung: Deutschland, Stichtag, Altersjahre,;;;;;
Nationalität, Geschlecht/Familienstand;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
Deutschland;;;;;
Bevölkerungsstand (Anzahl);;;;;
;;Deutsche;Deutsche;Ausländer;Ausländer
;;männlich;weiblich;männlich;weiblich
31.12.2002;unter 1 Jahr;348161;330019;21128;19942
31.12.2002;1-Jährige;356869;337468;23445;21765
31.12.2002;2-Jährige;371074;352420;25909;24369
31.12.2002;3-Jährige;355947;336249;43874;41741
31.12.2002;4-Jährige;361838;343699;45437;43167
31.12.2002;5-Jährige;373114;354106;47098;44682
31.12.2002;6-Jährige;367027;347497;45441;43464
31.12.2002;7-Jährige;355320;336971;43169;41614
31.12.2002;8-Jährige;359498;340183;44766;42533
31.12.2002;9-Jährige;374472;355020;45948;43919
31.12.2002;10-Jährige;383345;365205;46873;44629
31.12.2002;11-Jährige;401343;381395;46456;44059
31.12.2002;12-Jährige;446207;422778;47487;44884
31.12.2002;13-Jährige;439303;417887;48394;45951
31.12.2002;14-Jährige;453924;430500;48922;45675
31.12.2002;15-Jährige;445879;421410;47688;44443
31.12.2002;16-Jährige;438909;417926;46106;42178
31.12.2002;17-Jährige;424060;404240;46402;41836
31.12.2002;18-Jährige;423710;403114;47603;43473
31.12.2002;19-Jährige;427320;408110;50257;48772
31.12.2002;20-Jährige;437928;418141;56924;56940
31.12.2002;21-Jährige;432832;417378;62528;63704
31.12.2002;22-Jährige;434798;419311;68557;70137
31.12.2002;23-Jährige;411502;396078;72182;73223
31.12.2002;24-Jährige;405547;390571;76827;75915
31.12.2002;25-Jährige;401344;386862;79642;78161
31.12.2002;26-Jährige;391830;379601;84954;79878
31.12.2002;27-Jährige;379337;365744;88811;82277
31.12.2002;28-Jährige;385396;373542;90062;84124
31.12.2002;29-Jährige;392948;380033;90114;84745
31.12.2002;30-Jährige;441083;425136;91550;84765
31.12.2002;31-Jährige;500364;480800;90312;82601
31.12.2002;32-Jährige;526460;506413;95031;82057
31.12.2002;33-Jährige;577392;553767;91340;78210
31.12.2002;34-Jährige;612978;588662;88715;74331
31.12.2002;35-Jährige;636798;612629;82331;68429
31.12.2002;36-Jährige;657088;632048;83798;67011
31.12.2002;37-Jährige;665054;636577;83956;64968
31.12.2002;38-Jährige;680442;653892;80208;61921
31.12.2002;39-Jährige;679681;655270;75845;57430
31.12.2002;40-Jährige;660707;638657;70172;54662
31.12.2002;41-Jährige;655709;636814;61370;49767
31.12.2002;42-Jährige;633141;616880;64964;51924
31.12.2002;43-Jährige;618507;600752;57431;47332
31.12.2002;44-Jährige;586888;570448;55690;45188
31.12.2002;45-Jährige;576281;561760;53584;43097
31.12.2002;46-Jährige;559400;547495;53886;44926
31.12.2002;47-Jährige;544520;532536;49831;45616
31.12.2002;48-Jährige;536282;527940;45340;45902
31.12.2002;49-Jährige;520980;514999;41118;44339
31.12.2002;50-Jährige;521326;514894;41993;47244
31.12.2002;51-Jährige;512410;508260;40321;43676
31.12.2002;52-Jährige;510869;507425;46141;48970
31.12.2002;53-Jährige;494056;489877;46587;46003
31.12.2002;54-Jährige;451230;448710;47502;43851
31.12.2002;55-Jährige;420937;425375;47690;40935
31.12.2002;56-Jährige;367085;373793;44157;36310
31.12.2002;57-Jährige;322083;334227;39794;32962
31.12.2002;58-Jährige;443664;456624;37735;30432
31.12.2002;59-Jährige;453855;467121;36763;27784
31.12.2002;60-Jährige;439001;455693;37876;27400
31.12.2002;61-Jährige;538288;563479;34869;24397
31.12.2002;62-Jährige;564127;597446;37233;25784
31.12.2002;63-Jährige;552621;591413;33235;22442
31.12.2002;64-Jährige;512363;553424;30807;21670
31.12.2002;65-Jährige;475830;519753;27173;19278
31.12.2002;66-Jährige;458812;510505;23812;17123
31.12.2002;67-Jährige;440603;495020;19734;15065
31.12.2002;68-Jährige;402899;461088;19163;13487
31.12.2002;69-Jährige;316539;371533;17299;12408
31.12.2002;70-Jährige;311372;373041;14062;11218
31.12.2002;71-Jährige;311451;382189;12111;9757
31.12.2002;72-Jährige;320365;403893;11174;10210
31.12.2002;73-Jährige;302291;392509;9161;8807
31.12.2002;74-Jährige;291375;389241;8089;7995
31.12.2002;75-Jährige;251711;368778;6914;7505
31.12.2002;76-Jährige;224868;371969;6214;7071
31.12.2002;77-Jährige;203724;371289;5407;6796
31.12.2002;78-Jährige;168124;349055;4971;6228
31.12.2002;79-Jährige;153256;333443;4336;5718
31.12.2002;80-Jährige;150685;332578;3979;5141
31.12.2002;81-Jährige;142482;333264;3363;4568
31.12.2002;82-Jährige;125371;310119;3124;4137
31.12.2002;83-Jährige;85377;218533;2359;3178
31.12.2002;84-Jährige;49124;130908;1674;2363
31.12.2002;85 Jahre und mehr;333081;1081535;14789;22275
31.12.2002;Insgesamt;36473792;38714937;3871087;3476864
31.12.2003;unter 1 Jahr;342374;324870;20047;19158
31.12.2003;1-Jährige;349131;331458;21605;20651
31.12.2003;2-Jährige;356860;339057;23311;22007
31.12.2003;3-Jährige;370460;354331;25747;24497
31.12.2003;4-Jährige;357145;337352;43128;41131
31.12.2003;5-Jährige;363031;344820;44627;42493
31.12.2003;6-Jährige;374293;355028;46042;43739
31.12.2003;7-Jährige;368244;348561;44429;42549
31.12.2003;8-Jährige;356718;338256;42321;40968
31.12.2003;9-Jährige;360877;341525;43947;41715
31.12.2003;10-Jährige;375919;356284;45066;43158
31.12.2003;11-Jährige;384811;366498;46242;44009
31.12.2003;12-Jährige;402902;382766;45749;43553
31.12.2003;13-Jährige;447690;424251;46907;44353
31.12.2003;14-Jährige;440753;419291;48005;45400
31.12.2003;15-Jährige;455358;431996;48677;45308
31.12.2003;16-Jährige;447325;422897;48024;44348
31.12.2003;17-Jährige;440114;419535;46748;42399
31.12.2003;18-Jährige;425590;406070;46836;43183
31.12.2003;19-Jährige;425874;405785;48891;47247
31.12.2003;20-Jährige;429076;410564;52547;53548
31.12.2003;21-Jährige;439399;420362;59261;61432
31.12.2003;22-Jährige;434220;419400;65381;68004
31.12.2003;23-Jährige;435992;421250;72385;74186
31.12.2003;24-Jährige;412672;397770;75277;76745
31.12.2003;25-Jährige;406837;392201;78809;78300
31.12.2003;26-Jährige;402590;388255;81047;79736
31.12.2003;27-Jährige;393130;380876;85487;81414
31.12.2003;28-Jährige;380877;367291;88328;83211
31.12.2003;29-Jährige;387095;375116;88841;84496
31.12.2003;30-Jährige;394490;381545;88742;84721
31.12.2003;31-Jährige;442628;426593;89697;84401
31.12.2003;32-Jährige;501820;482245;88234;82115
31.12.2003;33-Jährige;527780;507784;92581;81392
31.12.2003;34-Jährige;578679;554915;88812;77626
31.12.2003;35-Jährige;614212;589775;86025;73588
31.12.2003;36-Jährige;637704;613385;79613;67675
31.12.2003;37-Jährige;658296;632946;80987;66218
31.12.2003;38-Jährige;666234;637262;80866;64113
31.12.2003;39-Jährige;681167;654587;77725;61054
31.12.2003;40-Jährige;680122;655907;73562;56768
31.12.2003;41-Jährige;660894;639309;68169;54098
31.12.2003;42-Jährige;655482;637181;59579;49306
31.12.2003;43-Jährige;632828;617326;63118;51369
31.12.2003;44-Jährige;618117;601022;55910;46849
31.12.2003;45-Jährige;586336;570624;54319;44772
31.12.2003;46-Jährige;575364;561639;52246;42788
31.12.2003;47-Jährige;558332;547407;52599;44548
31.12.2003;48-Jährige;543140;532406;48638;45249
31.12.2003;49-Jährige;534700;527652;44230;45580
31.12.2003;50-Jährige;519150;514538;40128;43974
31.12.2003;51-Jährige;519515;514428;41009;46840
31.12.2003;52-Jährige;510265;507549;39493;43348
31.12.2003;53-Jährige;508463;506677;45131;48504
31.12.2003;54-Jährige;491232;488933;45736;45734
31.12.2003;55-Jährige;448520;447493;46649;43611
31.12.2003;56-Jährige;418181;424193;46907;40644
31.12.2003;57-Jährige;364284;372375;43454;36087
31.12.2003;58-Jährige;319228;332812;39082;32694
31.12.2003;59-Jährige;439313;454511;37020;30077
31.12.2003;60-Jährige;449064;464717;35855;27340
31.12.2003;61-Jährige;434040;453418;36865;26948
31.12.2003;62-Jährige;531520;560303;34065;24141
31.12.2003;63-Jährige;556402;593877;36110;25389
31.12.2003;64-Jährige;544353;587576;32354;22117
31.12.2003;65-Jährige;504089;549470;29793;21368
31.12.2003;66-Jährige;467117;515649;26321;18963
31.12.2003;67-Jährige;449685;505792;22997;16890
31.12.2003;68-Jährige;430406;489918;19080;14803
31.12.2003;69-Jährige;392717;455521;18551;13224
31.12.2003;70-Jährige;307941;366625;16679;12143
31.12.2003;71-Jährige;301856;367256;13552;11004
31.12.2003;72-Jährige;300785;375756;11699;9542
31.12.2003;73-Jährige;308244;396167;10774;10044
31.12.2003;74-Jährige;289826;384094;8816;8680
31.12.2003;75-Jährige;278142;379723;7761;7824
31.12.2003;76-Jährige;239599;359229;6737;7602
31.12.2003;77-Jährige;212796;360441;6010;6945
31.12.2003;78-Jährige;191735;358362;5175;6625
31.12.2003;79-Jährige;157283;334965;4761;6080
31.12.2003;80-Jährige;141999;318077;4141;5547
31.12.2003;81-Jährige;138503;314819;3810;4990
31.12.2003;82-Jährige;129922;313116;3194;4421
31.12.2003;83-Jährige;112835;288401;2970;3983
31.12.2003;84-Jährige;75867;201562;2253;3062
31.12.2003;85 Jahre und mehr;315387;1020336;15772;23396
31.12.2003;Insgesamt;36515946;38673905;3840068;3501752
31.12.2004;unter 1 Jahr;343334;326123;18215;17316
31.12.2004;1-Jährige;343936;326388;20307;19415
31.12.2004;2-Jährige;349772;332070;21703;20585
31.12.2004;3-Jährige;357324;339510;23104;21773
31.12.2004;4-Jährige;370961;354793;25474;24219
31.12.2004;5-Jährige;357880;338075;42422;40441
31.12.2004;6-Jährige;363833;345443;43555;41523
31.12.2004;7-Jährige;375136;355819;44935;42848
31.12.2004;8-Jährige;369256;349464;43509;41785
31.12.2004;9-Jährige;357758;339288;41702;40314
31.12.2004;10-Jährige;361981;342571;43203;40993
31.12.2004;11-Jährige;377128;357381;44431;42434
31.12.2004;12-Jährige;386038;367600;45608;43315
31.12.2004;13-Jährige;404156;383918;45143;42938
31.12.2004;14-Jährige;448970;425355;46349;43838
31.12.2004;15-Jährige;442067;420573;47469;45041
31.12.2004;16-Jährige;456867;433317;48526;45106
31.12.2004;17-Jährige;448531;424348;47985;44347
31.12.2004;18-Jährige;441678;421328;46783;43238
31.12.2004;19-Jährige;427886;408886;47550;46338
31.12.2004;20-Jährige;427780;408107;50601;51796
31.12.2004;21-Jährige;430726;412503;54374;57491
31.12.2004;22-Jährige;440958;422164;61311;65263
31.12.2004;23-Jährige;435593;421247;67737;71408
31.12.2004;24-Jährige;437416;422855;74239;76647
31.12.2004;25-Jährige;414112;399106;76310;78322
31.12.2004;26-Jährige;408180;393474;79075;78854
31.12.2004;27-Jährige;403960;389234;80439;80432
31.12.2004;28-Jährige;394667;382118;84536;81646
31.12.2004;29-Jährige;382471;368582;86565;83165
31.12.2004;30-Jährige;388449;376413;86914;84158
31.12.2004;31-Jährige;395699;382981;86254;83801
31.12.2004;32-Jährige;444042;428079;87183;83411
31.12.2004;33-Jährige;503207;483642;85582;80888
31.12.2004;34-Jährige;529239;509130;89606;80147
31.12.2004;35-Jährige;579780;556107;85931;76244
31.12.2004;36-Jährige;615343;590323;83252;72353
31.12.2004;37-Jährige;638602;614090;76815;66516
31.12.2004;38-Jährige;659373;633792;77957;65041
31.12.2004;39-Jährige;666958;638098;78177;62899
31.12.2004;40-Jährige;681497;655093;75339;60005
31.12.2004;41-Jährige;680278;656493;71289;55874
31.12.2004;42-Jährige;660846;639859;66065;53119
31.12.2004;43-Jährige;655088;637651;58074;48536
31.12.2004;44-Jährige;632155;617537;61556;50643
31.12.2004;45-Jährige;617700;601199;54422;46077
31.12.2004;46-Jährige;585609;570669;52940;44173
31.12.2004;47-Jährige;574298;561489;50884;42170
31.12.2004;48-Jährige;557243;547182;51388;43950
31.12.2004;49-Jährige;541738;532057;47513;44788
31.12.2004;50-Jährige;532666;527213;43035;45132
31.12.2004;51-Jährige;517320;513989;39093;43453
31.12.2004;52-Jährige;517248;513764;39954;46290
31.12.2004;53-Jährige;507846;506724;38404;42841
31.12.2004;54-Jährige;505648;505691;44048;47885
31.12.2004;55-Jährige;488292;487857;44600;45145
31.12.2004;56-Jährige;445704;446294;45565;43002
31.12.2004;57-Jährige;415186;422836;45700;40077
31.12.2004;58-Jährige;361303;370925;42343;35567
31.12.2004;59-Jährige;316276;331291;38270;32197
31.12.2004;60-Jährige;434798;452197;35807;29422
31.12.2004;61-Jährige;443954;462323;34721;26659
31.12.2004;62-Jährige;428717;450906;35745;26363
31.12.2004;63-Jährige;524432;556971;33033;23616
31.12.2004;64-Jährige;548366;590113;34818;24815
31.12.2004;65-Jährige;535625;583490;30963;21546
31.12.2004;66-Jährige;495226;545279;28600;20799
31.12.2004;67-Jährige;458265;511112;25226;18454
31.12.2004;68-Jährige;440104;500858;22035;16446
31.12.2004;69-Jährige;420427;484336;18269;14364
31.12.2004;70-Jährige;382286;449750;17705;12784
31.12.2004;71-Jährige;299125;361310;15918;11797
31.12.2004;72-Jährige;292330;361351;12933;10696
31.12.2004;73-Jährige;290156;368836;11140;9225
31.12.2004;74-Jährige;296296;388169;10295;9764
31.12.2004;75-Jährige;277196;375463;8394;8389
31.12.2004;76-Jährige;264891;369791;7384;7550
31.12.2004;77-Jährige;227479;348710;6447;7361
31.12.2004;78-Jährige;201073;348610;5712;6725
31.12.2004;79-Jährige;179897;344736;4964;6407
31.12.2004;80-Jährige;146633;320486;4499;5837
31.12.2004;81-Jährige;131246;302561;3930;5361
31.12.2004;82-Jährige;126908;296939;3606;4806
31.12.2004;83-Jährige;117752;292969;3026;4264
31.12.2004;84-Jährige;101082;267143;2786;3832
31.12.2004;85 Jahre und mehr;327919;1041181;17187;25029
31.12.2004;Insgesamt;36567171;38645698;3786456;3501524
31.12.2005;unter 1 Jahr;336706;319986;15031;14264
31.12.2005;1-Jährige;344168;326945;18948;17952
31.12.2005;2-Jährige;344202;326611;20334;19447
31.12.2005;3-Jährige;349883;332208;21787;20634
31.12.2005;4-Jährige;357494;339504;23007;21747
31.12.2005;5-Jährige;371188;354874;25154;24071
31.12.2005;6-Jährige;358173;338375;41516;39409
31.12.2005;7-Jährige;364270;345812;42672;40671
31.12.2005;8-Jährige;375841;356543;44018;42030
31.12.2005;9-Jährige;370063;350198;42633;41009
31.12.2005;10-Jährige;358566;340072;41022;39583
31.12.2005;11-Jährige;362801;343412;42659;40482
31.12.2005;12-Jährige;377961;358155;43887;41909
31.12.2005;13-Jährige;386923;368453;45063;42738
31.12.2005;14-Jährige;404960;384761;44617;42470
31.12.2005;15-Jährige;449773;426224;45912;43459
31.12.2005;16-Jährige;443221;421738;47179;44693
31.12.2005;17-Jährige;457835;434530;48067;44901
31.12.2005;18-Jährige;449561;425761;47641;45050
31.12.2005;19-Jährige;443441;423603;47175;46025
31.12.2005;20-Jährige;429145;410589;49301;50625
31.12.2005;21-Jährige;428828;409354;52743;56297
31.12.2005;22-Jährige;431461;413686;57286;62072
31.12.2005;23-Jährige;441576;423115;64607;69718
31.12.2005;24-Jährige;436242;421959;70283;74921
31.12.2005;25-Jährige;438019;423465;76047;79315
31.12.2005;26-Jährige;414811;399454;77355;80236
31.12.2005;27-Jährige;408830;393724;79535;80548
31.12.2005;28-Jährige;404466;389476;80569;81699
31.12.2005;29-Jährige;395306;382596;84120;82506
31.12.2005;30-Jährige;383321;369201;85838;83736
31.12.2005;31-Jährige;389275;377278;86080;84165
31.12.2005;32-Jährige;396692;383867;85021;83516
31.12.2005;33-Jährige;444854;428946;85686;83060
31.12.2005;34-Jährige;503844;484347;84144;80305
31.12.2005;35-Jährige;529934;509846;87624;79486
31.12.2005;36-Jährige;580155;556538;84239;75495
31.12.2005;37-Jährige;615678;590619;81264;71787
31.12.2005;38-Jährige;638885;614349;75136;65876
31.12.2005;39-Jährige;659315;633989;76395;64532
31.12.2005;40-Jährige;666530;638169;77065;62370
31.12.2005;41-Jährige;680907;655107;74025;59504
31.12.2005;42-Jährige;679589;656448;70158;55406
31.12.2005;43-Jährige;660002;639635;65159;52801
31.12.2005;44-Jährige;654032;637434;57460;48202
31.12.2005;45-Jährige;630958;617279;60859;50343
31.12.2005;46-Jährige;616178;600773;53865;45822
31.12.2005;47-Jährige;584089;570251;52414;43892
31.12.2005;48-Jährige;572541;560891;50360;41977
31.12.2005;49-Jährige;555281;546569;50918;43745
31.12.2005;50-Jährige;539619;531294;46951;44586
31.12.2005;51-Jährige;530277;526419;42684;44810
31.12.2005;52-Jährige;514727;513106;38658;43112
31.12.2005;53-Jährige;514540;512592;39478;45970
31.12.2005;54-Jährige;504730;505422;37999;42594
31.12.2005;55-Jährige;502292;504282;43481;47526
31.12.2005;56-Jährige;484670;486220;44055;44788
31.12.2005;57-Jährige;442329;444724;44823;42564
31.12.2005;58-Jährige;411655;421244;45070;39703
31.12.2005;59-Jährige;357908;369249;41734;35140
31.12.2005;60-Jährige;313002;329595;37373;31739
31.12.2005;61-Jährige;429922;449529;34946;28924
31.12.2005;62-Jährige;438336;459451;33947;26157
31.12.2005;63-Jährige;422950;448125;34809;25874
31.12.2005;64-Jährige;516833;553218;32110;23184
31.12.2005;65-Jährige;539608;585969;33483;24236
31.12.2005;66-Jährige;526326;578926;29898;21117
31.12.2005;67-Jährige;486063;540554;27689;20334
31.12.2005;68-Jährige;448863;506098;24348;18109
31.12.2005;69-Jährige;430108;495343;21237;16090
31.12.2005;70-Jährige;409771;478314;17575;14022
31.12.2005;71-Jährige;371495;443354;17041;12459
31.12.2005;72-Jährige;290099;356126;15379;11711
31.12.2005;73-Jährige;282547;354981;12411;10401
31.12.2005;74-Jährige;279671;362394;10848;9131
31.12.2005;75-Jährige;283846;379372;9874;9514
31.12.2005;76-Jährige;264118;365903;8029;8201
31.12.2005;77-Jährige;251275;358909;7046;7330
31.12.2005;78-Jährige;214654;337481;6177;7158
31.12.2005;79-Jährige;188883;335406;5448;6501
31.12.2005;80-Jährige;167823;329674;4708;6205
31.12.2005;81-Jährige;135711;304789;4283;5650
31.12.2005;82-Jährige;120191;285375;3720;5190
31.12.2005;83-Jährige;114967;277663;3434;4650
31.12.2005;84-Jährige;105471;271491;2887;4128
31.12.2005;85 Jahre und mehr;360406;1116075;18990;27339
31.12.2005;Insgesamt;36573460;38575386;3766501;3522648
31.12.2006;unter 1 Jahr;331216;313760;14655;13501
31.12.2006;1-Jährige;337412;320632;15602;14852
31.12.2006;2-Jährige;344181;327001;19162;18014
31.12.2006;3-Jährige;344080;326505;20173;19461
31.12.2006;4-Jährige;349712;332101;21643;20483
31.12.2006;5-Jährige;357387;339309;22822;21499
31.12.2006;6-Jährige;370816;354542;24603;23589
31.12.2006;7-Jährige;358339;338535;40551;38612
31.12.2006;8-Jährige;364743;346260;41742;39785
31.12.2006;9-Jährige;376518;357088;43000;41096
31.12.2006;10-Jährige;370609;350761;41839;40135
31.12.2006;11-Jährige;359113;340636;40359;38969
31.12.2006;12-Jährige;363469;344017;41918;39841
31.12.2006;13-Jährige;378666;358770;43045;41193
31.12.2006;14-Jährige;387595;369088;44280;42081
31.12.2006;15-Jährige;405681;385521;44056;41862
31.12.2006;16-Jährige;450675;427131;45359;43005
31.12.2006;17-Jährige;443850;422779;46551;44314
31.12.2006;18-Jährige;458896;435820;47513;45195
31.12.2006;19-Jährige;451266;427990;48009;46891
31.12.2006;20-Jährige;444576;425219;48865;49736
31.12.2006;21-Jährige;429968;411686;51608;54496
31.12.2006;22-Jährige;429341;410102;55420;60094
31.12.2006;23-Jährige;431898;414319;60474;65344
31.12.2006;24-Jährige;441862;423739;67405;72118
31.12.2006;25-Jährige;436716;422300;71722;76337
31.12.2006;26-Jährige;438231;423636;76967;80186
31.12.2006;27-Jährige;415081;399582;77772;80876
31.12.2006;28-Jährige;409221;393848;79345;80925
31.12.2006;29-Jährige;404880;389717;80003;81783
31.12.2006;30-Jährige;395719;383130;83143;82187
31.12.2006;31-Jährige;383896;369882;84586;82948
31.12.2006;32-Jährige;389904;378069;84648;83248
31.12.2006;33-Jährige;397459;384779;83280;82470
31.12.2006;34-Jährige;445446;429774;84149;81869
31.12.2006;35-Jährige;504343;485080;82213;78988
31.12.2006;36-Jährige;530441;510416;85557;78323
31.12.2006;37-Jährige;580478;556952;82105;74309
31.12.2006;38-Jährige;615907;590942;79313;70599
31.12.2006;39-Jährige;638656;614443;73546;64809
31.12.2006;40-Jährige;658721;634037;74967;63502
31.12.2006;41-Jährige;665947;638103;75561;61523
31.12.2006;42-Jährige;680024;654934;72746;58686
31.12.2006;43-Jährige;678619;656241;69162;54728
31.12.2006;44-Jährige;658756;639302;64242;52046
31.12.2006;45-Jährige;652489;636969;56808;47577
31.12.2006;46-Jährige;629501;616744;59936;49787
31.12.2006;47-Jährige;614328;600192;53397;45464
31.12.2006;48-Jährige;582194;569621;51798;43445
31.12.2006;49-Jährige;570422;560067;49679;41588
31.12.2006;50-Jährige;553038;545578;50300;43367
31.12.2006;51-Jährige;537242;530230;46384;44233
31.12.2006;52-Jährige;527520;525337;42084;44418
31.12.2006;53-Jährige;511783;511891;38155;42692
31.12.2006;54-Jährige;511387;511223;38952;45421
31.12.2006;55-Jährige;501342;503935;37545;42110
31.12.2006;56-Jährige;498658;502579;42856;47066
31.12.2006;57-Jährige;481088;484409;43325;44206
31.12.2006;58-Jährige;438494;442914;44206;41993
31.12.2006;59-Jährige;407818;419445;44294;39166
31.12.2006;60-Jährige;354148;367512;40714;34378
31.12.2006;61-Jährige;309378;327692;36337;31003
31.12.2006;62-Jährige;424701;446749;34093;28372
31.12.2006;63-Jährige;432531;456513;32930;25660
31.12.2006;64-Jährige;416924;445140;33811;25360
31.12.2006;65-Jährige;509008;549199;30841;22656
31.12.2006;66-Jährige;530428;581505;32209;23656
31.12.2006;67-Jährige;516731;574060;28881;20567
31.12.2006;68-Jährige;476421;535539;26798;19799
31.12.2006;69-Jährige;439022;500797;23407;17652
31.12.2006;70-Jährige;419680;489469;20409;15670
31.12.2006;71-Jährige;398801;471866;16906;13669
31.12.2006;72-Jährige;360779;437550;16463;12162
31.12.2006;73-Jährige;280508;349762;14759;11402
31.12.2006;74-Jährige;272177;347979;11864;10120
31.12.2006;75-Jährige;268228;354346;10394;8861
31.12.2006;76-Jährige;271141;369869;9414;9282
31.12.2006;77-Jährige;251271;355962;7708;8045
31.12.2006;78-Jährige;237601;347398;6722;7127
31.12.2006;79-Jährige;201881;325139;5926;6961
31.12.2006;80-Jährige;176598;320959;5158;6260
31.12.2006;81-Jährige;155708;313863;4496;5982
31.12.2006;82-Jährige;124604;288123;4115;5436
31.12.2006;83-Jährige;109452;267201;3515;5021
31.12.2006;84-Jährige;103245;257712;3259;4474
31.12.2006;85 Jahre und mehr;395173;1193684;20880;29924
31.12.2006;Insgesamt;36563757;38495200;3737409;3518540
31.12.2007;unter 1 Jahr;336274;318440;15768;15013
31.12.2007;1-Jährige;331996;314464;15459;14223
31.12.2007;2-Jährige;337438;320561;16003;15179
31.12.2007;3-Jährige;344095;326914;19296;18037
31.12.2007;4-Jährige;343860;326315;20225;19484
31.12.2007;5-Jährige;349467;331796;21602;20409
31.12.2007;6-Jährige;356851;338743;22529;21263
31.12.2007;7-Jährige;370509;354351;24395;23314
31.12.2007;8-Jährige;358788;338938;39671;37857
31.12.2007;9-Jährige;365288;346717;40874;38918
31.12.2007;10-Jährige;376975;357607;42225;40318
31.12.2007;11-Jährige;371155;351255;41208;39476
31.12.2007;12-Jährige;359697;341165;39818;38442
31.12.2007;13-Jährige;364059;344598;41362;39402
31.12.2007;14-Jährige;379215;359310;42405;40680
31.12.2007;15-Jährige;388171;369722;43768;41580
31.12.2007;16-Jährige;406388;386267;43772;41685
31.12.2007;17-Jährige;451157;427977;45114;42786
31.12.2007;18-Jährige;444834;424016;46579;44713
31.12.2007;19-Jährige;460626;437857;48734;47218
31.12.2007;20-Jährige;452424;429481;50354;50672
31.12.2007;21-Jährige;445321;426246;51577;53449
31.12.2007;22-Jährige;430493;412431;54603;58069
31.12.2007;23-Jährige;429635;410596;58688;63382
31.12.2007;24-Jährige;432149;414657;63310;67963
31.12.2007;25-Jährige;442095;423699;69446;74052
31.12.2007;26-Jährige;436730;422284;72977;77432
31.12.2007;27-Jährige;438199;423541;77665;81000
31.12.2007;28-Jährige;415024;399540;78212;81468
31.12.2007;29-Jährige;409220;394029;79042;81075
31.12.2007;30-Jährige;404935;389852;79416;81660
31.12.2007;31-Jährige;396080;383685;82427;81738
31.12.2007;32-Jährige;384203;370546;83733;82463
31.12.2007;33-Jährige;390340;378913;83719;82702
31.12.2007;34-Jährige;398005;385573;81906;81518
31.12.2007;35-Jährige;445951;430532;82797;81107
31.12.2007;36-Jährige;504731;485664;80859;78145
31.12.2007;37-Jährige;530713;510914;83837;77609
31.12.2007;38-Jährige;580735;557281;80720;73552
31.12.2007;39-Jährige;615630;591056;78194;69906
31.12.2007;40-Jährige;638209;614570;72726;64202
31.12.2007;41-Jährige;658177;633982;73809;62903
31.12.2007;42-Jährige;665081;637945;74516;60947
31.12.2007;43-Jährige;678946;654631;71771;58257
31.12.2007;44-Jährige;677262;655882;68432;54302
31.12.2007;45-Jährige;657315;638727;63471;51762
31.12.2007;46-Jährige;650826;636266;56100;47367
31.12.2007;47-Jährige;627760;616030;59180;49588
31.12.2007;48-Jährige;612253;599412;53010;45190
31.12.2007;49-Jährige;580065;568754;51231;43236
31.12.2007;50-Jährige;568056;559024;49146;41380
31.12.2007;51-Jährige;550562;544458;49838;43232
31.12.2007;52-Jährige;534548;528995;45795;44087
31.12.2007;53-Jährige;524541;524153;41555;44110
31.12.2007;54-Jährige;508613;510562;37722;42425
31.12.2007;55-Jährige;508044;509657;38443;45149
31.12.2007;56-Jährige;497645;502172;37084;41834
31.12.2007;57-Jährige;494811;500706;42277;46578
31.12.2007;58-Jährige;477189;482554;42761;43721
31.12.2007;59-Jährige;434380;440966;43542;41520
31.12.2007;60-Jährige;403806;417504;43292;38516
31.12.2007;61-Jährige;350155;365456;39850;33797
31.12.2007;62-Jährige;305600;325781;35501;30507
31.12.2007;63-Jährige;419025;443883;33222;27936
31.12.2007;64-Jährige;426424;453410;32026;25237
31.12.2007;65-Jährige;410507;441906;32488;24805
31.12.2007;66-Jährige;500483;544919;29826;22231
31.12.2007;67-Jährige;520716;576553;31198;23177
31.12.2007;68-Jährige;506790;568750;28011;20114
31.12.2007;69-Jährige;466360;529954;25893;19343
31.12.2007;70-Jährige;428847;495049;22591;17242
31.12.2007;71-Jährige;408854;483111;19662;15356
31.12.2007;72-Jährige;387327;464733;16346;13370
31.12.2007;73-Jährige;349302;430249;15827;11887
31.12.2007;74-Jährige;270488;343173;14139;11109
31.12.2007;75-Jährige;261329;340573;11370;9834
31.12.2007;76-Jährige;256507;345651;9985;8615
31.12.2007;77-Jährige;258026;359802;9036;9005
31.12.2007;78-Jährige;237636;344639;7359;7810
31.12.2007;79-Jährige;223350;335000;6460;6935
31.12.2007;80-Jährige;188775;311880;5650;6751
31.12.2007;81-Jährige;163853;305853;4921;6051
31.12.2007;82-Jährige;143099;296768;4289;5785
31.12.2007;83-Jährige;113786;270397;3925;5225
31.12.2007;84-Jährige;98538;248424;3326;4811
31.12.2007;85 Jahre und mehr;424862;1253861;23217;33089
31.12.2007;Insgesamt;36548184;38414258;3726108;3529287
31.12.2008;unter 1 Jahr;332937;316643;17301;16469
31.12.2008;1-Jährige;336757;319029;16597;15822
31.12.2008;2-Jährige;331930;314369;15850;14646
31.12.2008;3-Jährige;337151;320253;16194;15457
31.12.2008;4-Jährige;343773;326650;19265;18079
31.12.2008;5-Jährige;343483;325994;20116;19368
